OCC1950,EDUC_mean,PRESGL_mean,PRENT_mean,FTOTINC_mean,INCTOT_mean
Accountants and auditors,8.026227508386704,56.7,,112472.7440683135,9593.287587679171
Actors and actresses,7.21881390593047,55.0,,606957.609406953,6344.683026584867
Airplane pilots and navigators,7.814606741573034,70.09999999999998,,122896.15074906367,18151.17041198502
Architects,9.392295597484276,70.5,,88061.23506289309,14308.805031446542
Artists and art teachers,7.507829977628635,56.2,,151507.51789709172,7402.498135719612
Authors,8.596273291925465,59.8,,170428.71118012423,9818.944099378881
Chemists,9.355268469923294,68.8,,91370.5817521195,10633.689947517158
Chiropractors,9.827702702702704,60.0,,15495.777027027027,12493.75
Clergymen,9.339958592132506,69.0,,681049.4875776398,6592.225672877847
College presidents and deans,9.57865168539326,78.3,,499559.2775280899,12764.101123595505
Agricultural sciences,10.61111111111111,78.3,,107379.1574074074,12093.981481481482
Biological sciences,10.70103092783505,78.3,,425711.09278350516,9817.422680412372
Chemistry,10.726744186046512,78.3,,421774.5232558139,10941.133720930233
Economics,10.911330049261084,78.3,,163636.1921182266,12219.211822660098
Engineering,10.518105849582172,78.3,,155817.3955431755,13624.233983286907
Mathematics,10.579931972789115,78.3,,507066.53231292515,9812.329931972788
Medical sciences,10.242658423493046,78.3,,141674.33075734158,12433.462132921175
Physics,10.559602649006623,78.3,,411563.5364238411,11426.324503311258
Psychology,10.826086956521738,78.3,,197356.32246376813,11193.297101449276
Natural science (n.e.c.),10.608247422680412,78.3,,426410.26804123714,11033.505154639175
Social sciences (n.e.c.),10.822997416020671,78.3,,272657.79069767444,10478.61757105943
Non-scientific subjects,10.608079071766223,78.3,,379255.1203266008,9012.118607649334
Subject not specified,10.104613733905579,78.3,,908780.489806867,8526.220493562232
Dancers and dancing teachers,5.746938775510204,37.6,,498113.01224489795,3057.1428571428573
Dentists,10.63021582733813,73.59999999999998,,62562.94580335732,21824.748201438848
Designers,7.476172026346378,58.2,,92084.97869043007,9855.21115846571
Dietitians and nutritionists,6.933877551020408,52.1,,288664.8293877551,4352.857142857143
Draftsmen,6.949586155003762,56.1,,213760.9354401806,7882.716328066215
Editors and reporters,8.484948002189382,52.5,,253750.57817916438,9078.316000729794
"Engineers, aeronautical",9.228831350594822,71.09999999999998,,38351.08257522743,15035.89923023093
"Engineers, chemical",9.918238993710691,67.3,,150856.09613656782,13690.161725067386
"Engineers, civil",8.761952440550688,67.8,,100530.39198998749,12884.931163954943
"Engineers, electrical",8.947129419396692,69.4,,69288.29338306843,13312.38241972105
"Engineers, industrial",8.327624720774386,54.4,,67675.94415487714,12722.139488706875
"Engineers, mechanical",8.584508784954219,62.3,,85242.94036129671,13565.429349170998
"Engineers, metallurgical, metallurgists",9.16012084592145,55.8,,16374.773413897281,13645.770392749244
"Engineers, mining",9.090116279069768,61.6,,160226.14825581395,13326.453488372093
Engineers (n.e.c.),8.746972237749208,60.4,,81368.24389789454,13676.541829700018
Entertainers (n.e.c.),7.413207547169812,34.2,,327616.03773584904,7621.9182389937105
Farm and home management advisors,9.564327485380117,53.9,,188080.97660818713,7243.713450292397
Foresters and conservationists,6.686849574266793,53.9,,387987.0482497635,7006.527909176916
Funeral directors and embalmers,7.139186295503212,52.2,,89213.64346895074,10651.445396145611
Lawyers and judges,10.517389864193442,75.7,,76602.5452136469,20456.848294137133
Librarians,8.973826458036985,54.6,,655605.412233286,5496.827880512091
Musicians and music teachers,7.618596346655679,46.0,,499943.20766378246,4693.318225518473
"Nurses, professional",7.455536718810203,61.5,,225330.28234568852,4890.46004469446
"Nurses, student professional",6.992172211350294,45.1,,4545440.152641878,1208.317025440313
Agricultural scientists,8.557993730407523,55.8,,232283.2068965517,9529.467084639498
Biological scientists,9.863112391930835,67.7,,71348.40922190202,8643.299711815562
Geologists and geophysicists,10.035433070866143,67.2,,134327.3503937008,13498.129921259842
Mathematicians,9.680981595092025,65.0,,200224.52147239263,11444.171779141105
Physicists,10.30817610062893,73.8,,184592.1215932914,14448.11320754717
Miscellaneous natural scientists,10.137931034482758,68.1,,17846.55172413793,14656.896551724138
Optometrists,10.150837988826815,62.0,,49245.667597765365,18585.195530726258
Personnel and labor relations workers,7.754304056025679,56.0,,85051.54683396556,9998.796323314853
Pharmacists,9.349425287356322,60.7,,187442.81800766283,11366.39846743295
Photographers,6.484375,40.5,,312175.22,7490.21875
Physicians and surgeons,10.725012683916793,81.5,,133765.07475054963,24610.97581599865
Radio operators,6.160833333333334,42.8,,79410.285,9093.333333333334
Recreation and group workers,7.141681574239714,48.6,,2014637.2951699463,2597.477638640429
Religious workers,8.018619934282585,55.5,,1651627.1084337349,4379.518072289156
"Social and welfare workers, except group",9.033529516675584,52.4,,224908.20064205458,6456.527554842161
Economists,9.347795163584637,56.8,,74450.45661450924,14175.24893314367
Psychologists,10.521943573667711,71.40000000000002,,220832.42476489028,11669.435736677116
Statisticians and actuaries,8.344927536231884,55.4,,217941.50144927535,9249.27536231884
Miscellaneous social scientists,9.036036036036036,65.59999999999998,,493728.33033033035,9113.663663663663
Sports instructors and officials,7.168275862068966,53.2,,1065116.0096551725,5374.9885057471265
Surveyors,6.334439283344393,53.3,,382187.25547445257,6760.0862641008625
Teachers (n.e.c.),9.817368920200515,59.6,,301093.5886465249,6125.2350629995935
"Technicians, medical and dental",7.384990933184545,61.0,,324522.07086065004,5143.471892872089
"Technicians, testing",6.982568679403151,47.0,,466133.7155208479,7192.267466183238
Technicians (n.e.c.),6.6238017301847085,50.2,,126786.08861351415,8810.801963993454
Therapists and healers (n.e.c.),8.723291626564004,36.70000000000001,,225109.9884504331,6386.862367661212
Veterinarians,10.362530413625304,59.7,,68058.87591240875,16732.238442822385
"Professional, technical and kindred workers (n.e.c.)",7.700645200192957,50.6,,541029.3489809455,7041.711890979257
Farmers (owners and tenants),3.9939078454366044,40.70000000000001,,109574.51002488345,5539.770614649773
Farm managers,5.021497405485545,43.7,,128737.38621200889,7620.756115641216
"Buyers and department heads, store",6.873652736249218,50.0,,61582.38884639455,11712.669494471873
"Buyers and shippers, farm products",5.211786372007366,40.9,,140318.1270718232,8716.20626151013
"Conductors, railroad",4.613880742913001,40.9,,21510.11632453568,8952.443792766373
Credit men,7.027201145311381,48.8,,41666.92627057982,8164.638511095204
"Inspectors, public administration",6.208924103419516,40.6,,66689.52752293578,8897.018348623853
"Managers and superintendents, building",5.670509977827051,38.29999999999999,,72965.07139689579,6799.778270509978
"Officers, pilots, pursers and engineers, ship",4.55,59.9,,480583.625,9818.203125
"Officials and administrators (n.e.c.), public administration",7.230492196878751,60.6,,65478.16866746698,10252.986194477791
"Officials, lodge, society, union, etc.",6.672145328719723,48.3,,92724.68944636678,10922.57785467128
Postmasters,6.054054054054054,58.1,,55242.15783783784,8280.486486486487
Purchasing agents and buyers (n.e.c.),7.044045676998369,47.9,,76746.07857531267,10457.123436650354
"Managers, officials, and proprietors (n.e.c.)",6.377378593592284,50.3,,96880.29575871995,11486.845769935324
Agents (n.e.c.),7.844181459566075,42.5,,132711.23076923078,11529.980276134122
"Attendants and assistants, library",7.1224197247706424,41.3,,1372211.1883600918,2462.7436926605506
"Attendants, physician's and dentist's office",5.850851163517102,47.8,,284572.00140559115,2625.0507574574417
Bank tellers,6.311289429994466,49.5,,157258.79842280023,3412.3893193137797
Bookkeepers,6.162510886006325,47.6,,100794.72344960352,4056.350552321584
Cashiers,5.294648142344789,30.9,,381812.2804763397,2118.1813433615375
"Collectors, bill and account",6.120930232558139,25.9,,88316.96899224806,5111.085271317829
"Dispatchers and starters, vehicle",5.276197604790419,33.5,,101124.69161676646,7080.950598802395
Mail carriers,5.830277632268203,42.3,,154365.83167452418,7229.168849310285
Messengers and office boys,4.919294494922501,19.1,,636628.558524853,2717.6643506146447
Office machine operators,6.013537738764913,44.9,,172755.88112752672,3917.2992520244793
Shipping and receiving clerks,4.920889147738303,29.2,,231533.55387303437,5365.890118423607
"Stenographers, typists, and secretaries",6.385464912134031,44.5,,232775.30399451568,3423.9206949019344
Telegraph messengers,4.411764705882353,29.8,,451287.45588235295,4824.264705882353
Telegraph operators,5.272965879265092,43.5,,193717.17322834645,5921.916010498688
Telephone operators,5.628190732839284,40.4,,259198.77371060709,3163.4328916835093
"Ticket, station, and express agents",6.499601910828026,35.4,,95379.94785031847,6601.532643312102
Clerical and kindred workers (n.e.c.),5.857784980642301,35.5,,360639.8024337371,4111.748287588218
Advertising agents and salesmen,7.435094585779518,42.2,,151300.37769080236,9890.247879973907
Auctioneers,5.179310344827586,31.9,,13855.51724137931,10326.206896551725
