OCC1990,EDUC_mean,PRESGL_mean,PRENT_mean,FTOTINC_mean,INCTOT_mean
Legislators,8.91072796934866,60.6,,217775.43672687467,58239.83886152162
"Chief executives and general administrators, public administration",8.834205616305708,50.3,,188460.02447666958,127906.98455870197
Financial managers,8.589775005775007,50.3,,145427.15258489258,65162.48934534535
Personnel and labor relations managers,8.14881322578844,56.0,,194942.6596026949,51532.8113388107
"Managers, marketing, advertising, and public relations",8.819981095364467,50.40212466015507,,216161.688330123,64001.55774196797
"Administrators, education and related fields",9.623803725420405,59.6,,305629.94774795027,49638.64074982984
"Managers, medicine and health",8.709636326815916,61.5,,213594.65895159516,52609.548967730836
Postmasters and mail superintendents,7.061924474106615,58.10000000000001,,85535.47997803497,41592.468657599056
"Managers, food serving and lodging establishments",7.007849000186881,50.3,,283465.76850832434,33820.146014966725
"Managers, properties and real estate",7.569838535726201,38.300000000000004,,153236.2356943895,50603.65789126572
Funeral directors,8.067979587701037,52.2,,231072.1877636742,52782.80495937805
"Managers, service organizations, n.e.c.",8.766427806693025,50.3,,265889.89569575037,43904.02617212758
"Managers and administrators, n.e.c. ",8.15864056254693,50.29999999999999,,170178.1018166901,65827.72859113761
Accountants and auditors,9.136993791228996,56.699999999999996,,135495.09097236823,46928.680200769784
Underwriters,8.231795950565344,46.9,,91084.56071522483,43945.08215619248
Other financial officers,8.584067807579208,50.383849386601085,,145401.8861895247,59993.79133920374
Management analysts,9.417603304103043,54.4,,182792.09430565144,76417.17838618113
"Personnel, training, and labor relations specialists",8.246873735837692,56.0,,189693.10064971176,42703.26701962324
"Purchasing agents and buyers, farm products",6.9438222435167996,40.900000000000006,,439369.6141821884,43278.29190872612
"Buyers, wholesale and retail trade, except farm products",7.427853440732347,50.0,,141125.5799172818,33906.84352352532
"Purchasing agents and buyers, n.e.c.",8.021393763121907,48.904355413448386,,106862.88364504883,47329.71444806133
Business and promotion agents,8.247966919365954,50.29999999999999,,394517.144589938,45899.073604410754
Construction inspectors,7.25805686692966,31.300000000000004,,151383.24087606976,40351.24594192589
"Inspectors and compliance officers, except construction",8.347624436192085,40.599999999999994,,173042.6514511579,46405.57121910014
"Management related occupations, n.e.c. ",7.699391233468207,60.599999999999994,,187950.16488100047,38389.44365054304
Architects,9.802238668241547,70.5,,182012.4686438801,59583.551177469366
Aerospace,9.662084569905387,71.09999999999998,,134324.41293112133,67350.5610563102
Metallurgical and materials,9.008855963900485,55.8,,107803.55030042712,57486.64834342801
Petroleum,9.526367378945304,61.6,,127265.26579102137,78640.5373848265
Chemical,9.785679414157851,67.3,,183998.08993761867,68609.60778410632
Civil,9.567254447374497,67.8,,202612.45135445354,62581.748976559225
Electrical and electronic,9.355369898353077,69.4,,169566.99510175383,65226.601016231674
Industrial,8.877310808322592,54.4,,111318.17666635978,54659.96473025226
Mechanical,9.192547212964778,62.3,,147729.2893321571,60310.57275044109
"Engineers, n.e.c.",9.543450943849097,60.78834836997191,,160003.1583106254,64259.88048343146
Computer systems analysts and scientists,8.5283481789997,50.6,,272970.09603011503,49066.77720316464
Operations and systems researchers and analysts,8.781263476964403,50.6,,156066.41020491146,56188.491923062706
Actuaries,10.078966662353904,55.39999999999999,,266693.14710829343,88557.08345193428
"Mathematical scientists, n.e.c. ",10.08206677745883,55.4,,270325.07001057564,52681.15630759933
Physicists and astronomers,10.45880388451905,73.8,,225347.71841631146,74700.29037219317
"Chemists, except biochemists",10.03718523975355,68.8,,252119.58526989017,52542.35604741495
Atmospheric and space scientists,9.736975627434992,68.1,,221085.2604874513,55966.25822234303
Geologists and geodesists,10.147534145480604,67.2,,107323.35508091169,57167.65748633646
"Physical scientists, n.e.c.",10.550834688965057,68.1,,230115.76409606877,51043.338299647636
Agricultural and food scientists,9.424915082533818,55.8,,496260.84488409513,40662.80644776831
Biological and life scientists,10.240876374612153,67.7,,183711.38414209426,41710.44470945818
Forestry and conservation scientists,9.666814960755028,53.9,,125281.95678286567,47387.53954685564
Medical scientists ,10.936135977337111,67.7,,170340.26688951842,54630.43193201133
Physicians,10.941719381803303,81.5,,226315.98743096626,151933.40229803263
Dentists,10.955004122202999,73.6,,188466.96606439925,137808.79488846828
Veterinarians,10.94436503911353,59.699999999999996,,137355.31215516315,82684.12199732583
Optometrists,10.969198199004085,62.0,,135561.41085964756,91730.29454035842
Podiatrists,10.959438504855953,36.7,,150656.34456867707,114223.09915938953
"Health diagnosing practitioners, n.e.c. ",10.610690349532653,60.0,,127397.1699576233,73437.40014426112
Registered nurses,8.977334970537502,61.5,,123772.59617661711,38270.91686329106
Pharmacists,10.179245160592625,60.7,,179779.35409105656,62997.41107818752
Dietitians,8.665607388210129,52.099999999999994,,157665.37064461721,28446.065140482948
Respiratory therapists,8.252633696492287,36.70000000000001,,83235.1688953827,34993.82030513822
Occupational therapists,9.686267609764108,36.642311527137515,,118131.01838101605,36098.59706044504
Physical therapists,9.334470539450372,39.9890031854337,,190440.83994609266,38010.67234327289
Speech therapists,10.729335562407064,36.699999999999996,,107698.54321070628,39245.390001092135
"Therapists, n.e.c.",9.430167007258122,39.1841959692763,,134712.70632795434,32527.856616869845
Physicians' assistants ,8.897974694862969,61.5,,277021.76067420753,41714.35761016975
"Postsecondary teachers, subject n.s. ",10.303799455180325,78.3,,355139.3807935443,44506.9337304675
"Teachers, prekindergarten and kindergarten",7.90573409701014,59.6,,192649.95017443565,15525.100498853399
"Teachers, elementary school",10.168931796152386,59.59999999999999,,130955.63136287393,33759.99808948952
"Teachers, secondary school",10.262969363348173,59.6,,150837.2768056398,37995.13474862381
"Teachers, special education",9.869082669292684,46.0,,109558.71256167287,33145.876212104464
"Teachers, n.e.c.",7.423902527163037,48.73967216317886,,501255.84849627654,16479.457890595702
"Counselors, educational and vocational ",9.223731165149934,50.6,,436886.6453065791,30419.947945695956
Librarians,9.854618346784829,54.599999999999994,,478568.9826537251,32318.177401487577
Archivists and curators ,9.330011362560363,50.29999999999999,,504417.0180380646,33861.49171479973
Economists,9.552562528940076,56.8,,267265.5417508838,59919.606106264284
Psychologists,10.870148355839161,71.4,,151918.7323740157,55096.169175072784
"Social scientists, n.e.c.",10.068776811594203,65.6,,192382.83972173912,39996.568765217395
Urban planners ,10.250828051523206,50.60000000000001,,116443.60601104068,53729.56581476181
Social workers,9.36494787763167,52.4,,140653.22557607142,30702.61796552429
Recreation workers,7.2333793632125,48.6,,1163626.549378859,16253.136687738901
Clergy,9.225148270740917,65.26787984973937,,735605.1383407266,30830.069066824562
Lawyers,10.95418143081766,75.7,,180621.50868945368,110941.09923954656
Judges ,9.670689854069332,75.69999999999999,,258871.5037636269,76263.01496798755
Authors,9.528006589785832,59.800000000000004,,310544.026664226,45133.08512823642
Technical writers,9.23082846074256,34.2,,158037.5598185712,46490.58567338002
Designers,8.021767097552084,58.2,,190456.93167372348,33802.34008131677
Musicians and composers,8.071663790978556,46.0,,455125.0296573823,29408.914389943307
Actors and directors,8.7747960902001,51.53315474566545,,252283.03195292436,50582.81265698938
"Painters, sculptors, craft-artists, and artist printmakers",8.170565020694966,56.2,,356918.2264998694,31608.218940362745
Photographers,7.738527021970385,40.5,,273843.3068837868,30967.53711177634
Dancers,6.366806747212981,37.6,,488062.0813634507,18865.43652600245
"Artists, performers, and related workers, n.e.c.",7.705153273112163,34.20000000000001,,497412.6771488131,26729.57094840263
Editors and reporters,9.193393256349973,51.24968084061671,,331136.1774670587,41439.34322486728
Announcers,7.378427928760708,50.599999999999994,,575044.932180933,31371.124206569297
Athletes ,7.520767573145562,53.2,,974880.7719474627,24519.851159402697
Clinical laboratory technologists and technicians,8.652251296790954,61.0,,271912.3621339862,30593.684127391552
Dental hygienists,8.498845247690495,61.0,,111950.3603524707,31937.45365490731
Health record technologists and technicians,6.9106922583510135,35.5,,186825.41123501258,21317.16200391441
Radiologic technicians,7.855532381954852,61.0,,115229.12948086351,34219.59258723035
Licensed practical nurses,7.001205319806056,41.9,,127967.18067224594,24393.605647237604
"Health technologists and technicians, n.e.c. ",7.7109927726653655,61.0,,314904.91559493786,34132.65118251919
Industrial engineering technicians,7.333800819856244,49.31692722371968,,557833.2902726303,34533.48488039084
Drafting occupations,7.47399519270124,56.1,,398547.55035384995,34718.85404713534
Surveying and mapping technicians,7.4098827581638735,53.300000000000004,,333983.0633606382,34449.44514362677
Biological technicians,7.500480017067273,48.80622955482862,,407461.7095896743,28715.853257004692
Chemical technicians,7.484794569558196,47.0,,272576.8877457285,37682.56830114972
Science technicians n.e.c.,7.358647819709295,47.0,,115684.75596746233,41091.50473396453
Airplane pilots and navigators,9.064516356011511,70.1,,232958.26603761635,91802.3402219267
Air traffic controllers,7.662279043387844,42.8,,280143.6685650818,63293.73452122129
Broadcast equipment operators,7.592428850432873,42.8,,395425.65897762275,37104.285725390364
Computer programmers,9.246305694007946,50.6,,212004.58555515046,59827.95158217153
"Tool programmers, numerical control",6.472497566595816,47.0,,262565.0291809857,35097.2466180648
Legal assistants,8.076774271551203,35.5,,189091.07778125585,32994.558289981665
"Supervisors and proprietors, sales occupations",7.18368560930611,50.300000000000004,,177430.07835614955,41473.85103253777
Insurance sales occupations,7.981432917957362,46.9,,126564.2106226507,56941.33806966401
Real estate sales occupations,7.970555447589231,44.0,,159922.96048076573,55233.92153600724
Securities and financial services sales occupations,8.808795622152285,50.60000000000001,,199947.91011085536,87071.15101695711
Advertising and related sales occupations,8.172854529450657,42.199999999999996,,207666.32236919494,45144.66149895956
Sales engineers,9.114194932515003,60.400000000000006,,100239.81419221681,73646.44760068436
"Sales workers, other commodities",7.433745269438936,32.97736152975136,,306839.1626108031,41733.82856688882
Sales counter clerks,6.648856810664943,32.800000000000004,,445752.5390803388,20804.706379678566
Cashiers,5.748500480349467,30.900000000000002,,489175.1129142723,10096.361130083855
Street and door-to-door sales workers,6.248012304961011,15.4,,336448.58231620997,16099.822220861806
"Demonstrators, promoters and models, sales",6.47669657539538,28.3,,349092.3666854286,17946.40936330828
"Supervisors, general office",7.352413665039021,50.3,,152654.84414731278,34857.10217730527
Computer operators,7.170259075922746,44.9,,269519.4991413116,28421.371103376285
Secretaries,6.946798370842689,44.5,,264424.8321278947,23016.861836255506
Typists,6.914988924814115,44.5,,449218.12172446155,19608.34232392734
Interviewers,7.105144926737301,35.5,,284298.9744269633,19437.061537359015
Hotel clerks,6.599982044721469,35.5,,586275.3661722552,14107.524249244916
Transportation ticket and reservation agents,7.314623496357201,35.4,,167841.42620625906,25833.734001483877
Receptionists,6.58061813153201,35.5,,436900.7615220958,15146.66670326102
Correspondence clerks,6.424811935807422,35.5,,221105.2084963223,19842.851588097627
"Personnel clerks, except payroll and timekeeping",7.098670510972289,35.5,,407269.9303947694,25942.44759949325
Library clerks,7.18354914769433,41.3,,1234093.2014765567,13383.518882146032
File clerks,6.50212865310106,35.5,,640102.8480600229,15072.706426765499
Records clerks,7.200057648614738,35.5,,254130.1641883414,24514.916697751705
"Bookkeepers, accounting, and auditing clerks",6.874464186679958,47.6,,170814.96291626594,23662.340462534605
Payroll and timekeeping clerks,6.891418618759663,35.5,,140945.97757294663,25425.694616333
"Billing, posting, and calculating machine operators",6.861286785140231,35.5,,160480.234469927,22888.25564451922
Mail preparing and paper handling machine operators,6.8858213665259065,35.5,,195850.55052085707,33957.41971123502
"Office machine operators, n.e.c.",6.539409322211407,44.9,,595930.6650115203,18641.72577962322
Telephone operators,6.436711469899385,40.4,,426153.49606103025,19263.355558273648
349,6.933333333333334,44.9,,357635.5478648821,28769.180369662205
Postal clerks except mail carriers,6.904737539128341,35.5,,148195.5849737138,35507.903543623084
"Mail carriers, postal service",6.86716792597392,42.300000000000004,,93765.03199469835,36510.984885849364
"Mail clerks, except postal service",6.300273666218133,35.5,,601186.211632178,18055.602147507
Messengers,6.521546433928815,19.100000000000005,,368743.397092916,23791.812443346356
Dispatchers,6.593457262379093,33.5,,175326.64855905966,27655.91646059706
"Traffic, shipping, and receiving clerks",6.065902120250613,29.2,,364656.743663975,22286.796066809373
Stock and inventory clerks,5.953562252961659,35.5,,441459.91631011746,16430.37617207563
Meter readers,6.382363470029036,35.5,,108387.74971162643,27498.897776540314
"Weighers, measurers, checkers, and samplers",6.154112688942313,35.5,,376117.9796482485,23300.411103432838
Expediters,7.280274039593831,41.53037297166747,,172472.07979670545,38911.84462489068
"Insurance adjusters, examiners, and investigators",7.6054665723958825,46.89999999999999,,110519.37462438985,32142.94598352074
"Investigators and adjusters, except insurance",6.947874023496639,35.5,,277340.88072844123,23620.70863864834
"Eligibility clerks, social welfare",7.86268326417704,35.5,,81561.10986168741,31613.61468879668
Bill and account collectors,6.841655033909329,25.899999999999995,,174208.17764456634,23864.47702039124
General office clerks,6.757852595784041,35.5,,517339.7255874381,18790.049796810392
Bank tellers,6.663492484946185,49.5,,251556.34187662986,14668.003273434166
Proofreaders,7.725678882151332,35.5,,366248.9455246507,21373.853216451356
Data-entry keyers,6.789578915252881,44.89999999999999,,425323.9920612096,17961.730088628363
Statistical clerks,7.452970109723799,35.5,,378499.10271156515,29439.401639551015
"Administrative support occupations, n.e.c.",7.463586958823804,35.5,,239550.55276887084,28385.432479255178
Housekeepers and butlers,5.09028487387051,12.400000000000002,,272497.7583465533,11879.639637220771
"Supervisors, guards",7.402909824258139,21.9,,205302.61790070104,41280.42836838567
Firefighting occupations,7.156746444181842,44.44709483605507,,188466.9253299543,47401.0837934422
"Police and detectives, public service",7.814444284478807,45.86210876914609,,116044.82369097906,47172.17773543794
