OCC1950,EDUC_mean,PRESGL_mean,PRENT_mean,FTOTINC_mean,INCTOT_mean
Accountants and auditors,7.811328519585469,56.7,,96877.32836993528,7811.82614388866
Actors and actresses,6.99111549851925,55.0,,325716.93287265545,34452.978282329714
Airplane pilots and navigators,7.235862068965517,70.1,,81050.5172413793,10895.779310344828
Architects,9.425505824647455,70.5,,85140.32679337829,9634.316370324954
Artists and art teachers,7.65426997245179,56.2,,186115.47275788186,7684.445668809305
Athletes,6.0,51.4,,672872.3505535056,42439.44280442804
Authors,8.301682692307692,59.8,,207972.48317307694,12073.7734375
Chemists,9.29770518916684,68.8,,178584.4444903866,8755.516642547032
Chiropractors,9.387654320987654,60.0,,21116.974074074074,7050.302469135802
Clergymen,9.118819994537011,69.0,,748567.8810889557,4842.210598197214
College presidents and deans,10.521091811414392,78.3,,829432.5856079404,8984.900744416873
Agricultural sciences,10.488636363636363,78.3,,65750.44886363637,7665.767045454545
Biological sciences,10.72183908045977,78.3,,813022.3218390804,6326.689655172414
Chemistry,10.708920187793428,78.3,,665639.9225352113,6114.084507042254
Economics,10.824390243902439,78.3,,301748.043902439,7735.414634146341
Engineering,10.543396226415094,78.3,,273956.71886792453,8543.396226415094
Geology and geophysics,10.347222222222221,78.3,,703553.75,7410.694444444444
Mathematics,10.69277108433735,78.3,,691142.0602409638,6172.369477911647
Medical sciences,10.67283950617284,78.3,,197542.89814814815,10035.324074074075
Physics,10.295019157088122,78.3,,851342.9042145594,6697.701149425287
Psychology,10.789029535864978,78.3,,642191.3924050633,6964.177215189873
Statistics,10.318181818181818,78.3,,915829.4545454546,6037.045454545455
Natural science (n.e.c.),10.73076923076923,78.3,,777722.4230769231,6671.153846153846
Social sciences (n.e.c.),10.731925783749201,78.3,,565731.1023672424,6851.074856046065
Non-scientific subjects,10.709968186638388,78.3,,919546.1919406151,5196.3653234358435
Subject not specified,10.49686365137009,78.3,,946256.5784087158,6277.386926378343
Dancers and dancing teachers,5.96144578313253,37.6,,231099.58012048193,19924.278313253013
Dentists,10.491009681881051,73.6,,55124.01267865376,12211.98478561549
Designers,7.204363089267804,58.2,,94522.3184553661,6298.71740220662
Dietitians and nutritionists,7.181515007146261,52.1,,673622.9228203907,2381.6626965221535
Draftsmen,6.848537005163511,56.1,,218533.35734775837,9270.356118350956
Editors and reporters,8.25528297303862,52.5,,276633.4005343697,6880.622297789652
"Engineers, aeronautical",8.959444647424187,71.1,,127386.94300328827,9149.342345633906
"Engineers, chemical",9.794158553546593,67.3,,103011.2772369031,9003.261474269819
"Engineers, civil",8.346207055568366,67.8,,153478.66843440165,7765.793751441089
"Engineers, electrical",8.769167012018235,69.4,,90885.56900124326,8709.239535847493
"Engineers, industrial",8.068711180124224,54.4,,65913.03299689441,8032.123447204969
"Engineers, mechanical",8.27235148222511,62.3,,81862.71453879768,9649.548718554388
"Engineers, metallurgical, metallurgists",8.763581488933601,55.8,,100439.96076458752,8574.371227364185
"Engineers, mining",8.920062695924765,61.6,,56844.799373040754,8666.277429467085
Engineers (n.e.c.),8.398586757393353,60.4,,101823.4833813138,10157.253205967025
Entertainers (n.e.c.),5.278271918678526,34.2,,692855.0775095299,3700.6734434561627
Farm and home management advisors,9.552747252747253,53.9,,139583.57472527472,4371.5
Foresters and conservationists,6.2019914651493595,53.9,,508340.87434803223,4146.439070649597
Funeral directors and embalmers,6.4777830864787385,52.2,,94915.31151457239,6845.05016722408
Lawyers and judges,10.355710705334765,75.7,,47265.20614035088,12680.772377372
Librarians,8.61734784936641,54.6,,690964.2400499732,8374.492593253613
Musicians and music teachers,7.822577913279133,46.0,,496735.7204437669,9738.474085365853
"Nurses, professional",7.265744536267783,61.5,,380637.343782196,3780.2490848111534
"Nurses, student professional",6.646031259577076,45.1,,8367435.11798958,43353.75911737665
Agricultural scientists,8.242038216560509,55.8,,368238.3503184713,5395.67940552017
Biological scientists,9.965962441314554,67.7,,372171.3720657277,17142.933098591548
Geologists and geophysicists,10.085004775549189,67.2,,143817.61318051576,8898.958930276982
Mathematicians,9.875247524752476,65.0,,187926.64554455446,6350.9009900990095
Physicists,10.203966005665722,73.8,,180189.51558073654,8407.252124645893
Miscellaneous natural scientists,8.616666666666667,68.1,,175806.8375,6990.291666666667
Optometrists,9.804123711340207,62.0,,56535.01260022909,8979.192439862543
